Date		Time		Leq
09/11/2018	15:40:35	59.0
09/11/2018	15:40:36	39.0
09/11/2018	15:40:36	39.0
09/11/2018	15:40:37	39.0
09/11/2018	15:40:38	42.0
09/11/2018	15:40:38	40.0
09/11/2018	15:40:39	40.0
09/11/2018	15:40:40	40.0
09/11/2018	15:40:41	51.0
09/11/2018	15:40:41	39.0
09/11/2018	15:40:42	39.0
09/11/2018	15:40:43	50.0
09/11/2018	15:40:44	44.0
09/11/2018	15:40:44	57.0
09/11/2018	15:40:47	39.0
09/11/2018	15:40:48	50.0
09/11/2018	15:40:49	39.0
09/11/2018	15:40:49	51.0
09/11/2018	15:40:50	40.0
09/11/2018	15:40:51	41.0
09/11/2018	15:40:52	43.0
09/11/2018	15:40:52	45.0
09/11/2018	15:40:53	42.0
09/11/2018	15:40:54	39.0
09/11/2018	15:40:55	52.0
09/11/2018	15:40:55	40.0
09/11/2018	15:40:56	38.0
09/11/2018	15:40:57	47.0
09/11/2018	15:40:58	38.0
09/11/2018	15:40:58	43.0
09/11/2018	15:40:59	41.0
09/11/2018	15:41:00	40.0
09/11/2018	15:41:00	40.0
09/11/2018	15:41:01	41.0
09/11/2018	15:41:02	39.0
09/11/2018	15:41:03	39.0
09/11/2018	15:41:03	40.0
09/11/2018	15:41:04	39.0
09/11/2018	15:41:05	40.0
09/11/2018	15:41:06	39.0
09/11/2018	15:41:06	39.0
09/11/2018	15:41:07	39.0
09/11/2018	15:41:08	39.0
09/11/2018	15:41:09	40.0
09/11/2018	15:41:09	39.0
09/11/2018	15:41:10	40.0
09/11/2018	15:41:13	51.0
09/11/2018	15:41:14	52.0
09/11/2018	15:41:14	40.0
09/11/2018	15:41:15	39.0
09/11/2018	15:41:16	39.0
09/11/2018	15:41:16	41.0
09/11/2018	15:41:17	43.0
09/11/2018	15:41:18	40.0
09/11/2018	15:41:19	41.0
09/11/2018	15:41:19	41.0
09/11/2018	15:41:20	39.0
09/11/2018	15:41:21	39.0
09/11/2018	15:41:21	39.0
09/11/2018	15:41:22	44.0
